Avg. $R^2$,Sample Size,Selected,Size of Selected Subset,# Correct Variables Selected,Sum of Sq. Cannonical Correlations
0.9002427048037346,100.0,[ 1  9  4 15 14  8 11 12  3 18 10 13 17  5  2  6  0  7 16 19],20,20,20.0
0.9002427048037346,100.0,[10 18 20 15 14 17  0 16  7 11 26  4 12  6  9 13 19  8  5  1],20,18,19.665202417865054
0.9002427048037346,100.0,[ 8  6  4 19 16 15 10 14  0  3 11  1  2  7  5 17 18  9 12 13 40],21,20,20.0
0.9002427048037346,100.0,[ 3 15  7  5  8 13 10 20  9 16 12 19  4  6 26 14 11 17 18  2],20,18,19.665202417865054
0.9002427048037346,100.0,[19  1 15 13 12 18  4 10 14  9  8 17 11 16  5  3  6  0  2  7 46],21,20,20.0
0.9002427048037346,100.0,[20 16  8 11 14  4  9 26 10  5 13  6 19 15 17 12  7  1 18  0],20,18,19.665202417865054
0.9002427048037346,100.0,[18 26 20  6 16 17 11  4 15 14 19 10  7 12  5  8  9  3 13  2],20,18,19.665202417865054
0.9002427048037346,100.0,[20  4 11  3  6 15  5 12  2 13 14 18 17  9  8 10  1  7 16 19  0],21,20,19.999999999999996
0.9002427048037346,100.0,[ 7 14  2 15 17 12 16  4  0  6 18  9  8  1 19 10  3  5 13 11],20,20,20.0
0.9002427048037346,100.0,[14  8 20 10  7 17  6  5  1  4 18 13 26 11 19 16  3 15  9 12],20,18,19.665202417865054
0.9002427048037346,100.0,[12 14  3 19  9  2 15 11  4  0  1 17  8  6  7 16 10  5 13 18],20,20,20.0
0.9002427048037346,100.0,[ 2  8  1 17  9 14 16 18  0 19  3  7  4 15 12  5 10 11  6 13 22],21,20,20.0
0.9002427048037346,100.0,[ 3 12 16 13 17  1 15 14  2 10  5 18 11 19  4  8  7  6  0  9 28],21,20,20.0
0.9002427048037346,100.0,[15  2  7  1 17 12  8  3 19  0 16  5 10  6 11  9 14 13  4 18],20,20,20.0
0.9002427048037346,100.0,[ 3  6  4 12  2  7 14  5 13  0  1 15 17  9  8 10 16 19 18 11 26],21,20,20.000000000000014
0.9002427048037346,100.0,[ 2  3  1 14 18 16  7  6  5  4 17 10 11 13 15 12 19  8  9  0],20,20,20.0
0.9002427048037346,100.0,[ 2 14  6 17 10  5 19  7 11 20  0 26 12  8 16 15  9  4 13 18],20,18,19.665202417865054
0.9002427048037346,100.0,[14  8 10 20  9  4 22 11  6  7 13 12 18 15 26  5 17 19 16  1  0],21,18,19.707737452331823
0.9002427048037346,100.0,[ 2  9 16  4  5 13  6 15 17  8 10 12  1  0  3 14 18  7 11 19],20,20,20.0
0.9002427048037346,100.0,[12 18 10 15 19 13  7  3  5 26  4 14  9 20  2 11 16  8  6 17],20,18,19.665202417865054
0.9002427048037346,100.0,[12 26  6  9 13 18  5  3 10  7 17  2  4 11 14 15 20  8 19 16],20,18,19.665202417865054
0.9002427048037346,100.0,[20  4  1  8  5  9 11 12 10 15 13 26 14 19 17  0 18  7  6 16],20,18,19.66520241786505
0.9002427048037346,100.0,[15 10  4 11  1 19 13  6 20 14 17  8 12  9 16 26 18  7  5  0],20,18,19.665202417865054
0.9002427048037346,100.0,[14  2 16 17 26  5 19  0  8 13 11 18 15  3  7  9 12  4  6 10  1],21,20,20.0
0.9002427048037346,100.0,[ 5  1  8 11 14  7 13 15 10 16  0  9 19 17  4  2  6 18  3 12 21],21,20,20.0
0.9002427048037346,100.0,[19  3 11  2  4  6 10 16  9 13  5 15  7 14 17  8  0 12  1 18],20,20,20.0
0.9002427048037346,100.0,[19  9  4 14 17 15 13  3 11 18  7  5 16 10  8  1  0  2 12  6 27],21,20,20.0
0.9002427048037346,100.0,[17  6  7  0  2 15 14 12 10  9  4 16  3  5 18  8 11 19 13  1 49],21,20,20.0
0.9002427048037346,100.0,[ 7  6 15  1 19 11  8 12 13  5  2 16 18 14 10  3  0 17  4  9],20,20,20.0
0.9002427048037346,100.0,[14  2  7 12  1 15 16 17 19 11 10  6  8 18  5 13  0  9  4  3],20,20,20.0
0.9002427048037346,100.0,[ 0 12 14 18  3 11  8  7 17  9  6  2  4 19 10  1  5 15 16 13 32],21,20,19.999999999999996
